category,category_id,subcategory,subcategory_id,amount,year
議会費,1,議会費,1.1,909313000,2013
経営費,2,政策費,2.1,897883000,2013
経営費,2,経営費,2.2,7766657000,2013
経営費,2,会計費,2.3,193122000,2013
経営費,2,選挙費,2.4,373375000,2013
経営費,2,監査委員費,2.5,89455000,2013
都市政策推進費,3,産業・都市振興費,3.1,842070000,2013
都市政策推進費,3,中野駅周辺まちづくり費,3.2,257299000,2013
都市政策推進費,3,西武新宿線沿線まちづくり費,3.3,358916000,2013
地域支えあい推進費,4,地域活動推進費,4.1,789012000,2013
地域支えあい推進費,4,地域ケア費,4.2,1560173000,2013
地域支えあい推進費,4,地域支援費,4.3,1040966000,2013
区民サービス管理費,5,区民サービス費,5.1,156462000,2013
区民サービス管理費,5,住民情報システム費,5.2,373345000,2013
区民サービス管理費,5,戸籍住民費,5.3,1075946000,2013
区民サービス管理費,5,税務費,5.4,896673000,2013
区民サービス管理費,5,保険医療費,5.5,9052309000,2013
区民サービス管理費,5,介護保険費,5.6,3063930000,2013
子ども教育費,6,子ども教育経営費,6.1,706997000,2013
子ども教育費,6,学校教育費,6.2,3194391000,2013
子ども教育費,6,知的資産費,6.3,641805000,2013
子ども教育費,6,学校・地域連携費,6.4,1345732000,2013
子ども教育費,6,子育て支援費,6.5,6349191000,2013
子ども教育費,6,保育園・幼稚園費,6.6,9509565000,2013
子ども教育費,6,子ども教育施設費,6.7,5538153000,2013
健康福祉費,7,福祉推進費,7.1,1191455000,2013
健康福祉費,7,保健予防費,7.2,784678000,2013
健康福祉費,7,健康推進費,7.3,860379000,2013
健康福祉費,7,障害福祉費,7.4,7171674000,2013
健康福祉費,7,生活援護費,7.5,17127335000,2013
健康福祉費,7,学習スポーツ費,7.6,1070525000,2013
環境費,8,地球温暖化対策費,8.1,173418000,2013
環境費,8,ごみゼロ推進費,8.2,4771405000,2013
環境費,8,生活環境費,8.3,279353000,2013
都市基盤費,9,都市計画費,9.1,1201131000,2013
都市基盤費,9,地域まちづくり費,9.2,818978000,2013
都市基盤費,9,道路・公園管理費,9.3,2917393000,2013
都市基盤費,9,都市基盤整備費,9.4,8170712000,2013
都市基盤費,9,建築費,9.5,810584000,2013
都市基盤費,9,防災・都市安全費,9.6,1163963000,2013
公債費,10,公債費,10.1,6697166000,2013
諸支出金,11,積立金,11.1,4511807000,2013
諸支出金,11,用地特別会計繰出金,11.2,236304000,2013
予備費,12,予備費,12.1,100000000,2013